user_id,user_pseudo_id,time,total_engagement_time_sec
0,2020196004.1693983148,2023-10-03 17:09:18,62.544
1,2128201890.1694780225,2023-10-18 17:09:19,166.46
1,1465273870.1689216255,2023-10-25 16:36:36,97.013
1,1751889797.1697462986,2023-10-18 09:53:00,136.702
1,1276659765.1654569965,2023-10-19 20:07:32,79.055
1,1687479957.1684215163,2023-10-25 17:49:48,12.656
9,1276659765.1654569965,2023-10-25 18:36:41,464.756
10,144040182.1689129925,2023-10-25 16:19:41,32.208
17,740274666.1697875301,2023-10-21 17:02:38,13.594
19,1888398399.1693807136,2023-10-12 15:23:44,281.328
21,471684139.1690507907,2023-10-11 11:14:35,3483.314
22,620847641.1693537789,2023-10-18 10:33:53,2144.047
26,1361872482.1693531128,2023-10-25 10:52:21,669.95
27,1928082946.1693541020,2023-10-24 18:58:49,1951.47
28,211052141.1693790542,2023-10-25 10:57:50,178.179
28,1508479867.1698126388,2023-10-24 14:53:13,315.361
29,1038078964.1693808814,2023-10-25 10:57:35,1233.259
31,1812447661.1693553584,2023-10-05 14:42:38,601.729
35,476986169.1693808122,2023-10-16 15:45:10,572.447
37,872470093.1677218887,2023-10-16 13:49:32,391.922
