第1階層, 第2階層, 第3階層, 第4階層
@context, , , 
@id, , , 
@type, , , 
projectIdentifier, , , 
, @type, , 
, @value, , 
personIdentifier, , , 
, @type, , 
, @value, , 
productIdentifier, , , 
, identifier, , 
, , @type, 
, , @value, 
, extra, , 
, , type, 
, , value, 
resourceType, , , 
dc:title, , , 
jpcoar:awardTitle, , , 
, , @language, 
, , @value, 
dcterms:alternative, , , 
, , @language, 
, , @value, 
foaf:Person, , , 
, foaf:name, , 
, , @language, 
, , @value, 
, foaf:familyName, , 
, , @language, 
, , @value, 
, foaf:givenName, , 
, , @language, 
, , @value, 
, foaf:middleName, , 
, , @language, 
, , @value, 
career, , , 
, institution, , 
, , institutionIdentifier, 
, , , @type
, , , @value
, , notation, 
, , , @language
, , , @value
, department, , 
, , departmentIdentifier, 
, , , @type
, , , @value
, , notation, 
, , , @language
, , , @value
, jobTitle, , 
, , jobTitleIdentifier, 
, , , @type
, , , @value
, , notation, 
, , , @language
, , , @value
, since, , 
, until, , 
field, , , 
, keyword, , 
, , language, 
, , textList, 
dc:language, , , 
description, , , 
, type, , 
, notation, , 
, , @language, 
, , @value, 
, abstractLicenseFlag, @value, 
researcher, , , 
, @id, , 
, @type, , 
, personIdentifier, , 
, , @type, 
, , @value, 
, name, , 
, , @language, 
, , @value, 
, affiliation, , 
, , @language, 
, , @value, 
, role, , 
since, , , 
until, , , 
institution, , , 
, institutionIdentifier, , 
, , @type, 
, , @value, 
, notation, , 
, , @language, 
, , @value, 
fundingProgram, , , 
, notation, , 
, , @language, 
, , @value, 
creator, , , 
, @id, , 
, @type, , 
, personIdentifier, , 
, , @type, 
, , @value, 
, foaf:name, , 
, , @language, 
, , @value, 
, jpcoar:affiliationName, , 
, , @language, 
, , @value, 
, role, , 
contributor, , , 
, @id, , 
, @type, , 
, personIdentifier, , 
, , @type, 
, , @value, 
, foaf:name, , 
, , @language, 
, , @value, 
, jpcoar:affiliationName, , 
, , @language, 
, , @value, 
, role, , 
publication, , , 
, publicationIdentifier, , 
, , @type, 
, , @value, 
, prism:publicationName, , 
, , @language, 
, , @value, 
, dc:publisher, , 
, , @language, 
, , @value, 
, prism:publicationDate, , 
, prism:volume, , 
, prism:number, , 
, prism:startingPage, , 
, prism:endingPage, , 
, jpcoar:numPages, , 
, foreign, , 
, jointInternationalResearch, , 
reviewed, , , 
dcterms:accessRights, , , 
ndl:dissertationNumber, , , 
ndl:dateGranted, , , 
ndl:degreeName, , , 
degreeAwardInstitution, , , 
, institutionIdentifier, , 
, , @type, 
, , @value, 
, jpcoar:degreeGrantorName, , 
, , @language, 
, , @value, 
jpcoar:conferenceName, , , 
jpcoar:conferencePlace, , , 
jpcoar:conferenceDate, , , 
, jpcoar:startDay, , 
, jpcoar:startMonth, , 
, jpcoar:startYear, , 
, jpcoar:endDay, , 
, jpcoar:endMonth, , 
, jpcoar:endYear, , 
jpcoar:conferenceSponsor, , , 
invited, , , 
prism:edition, , , 
printing, , , 
dc:date, , , 
dcterms:medium, , , 
, generalMaterialDesignationCode, , 
, specificMaterialDesignationCode, , 
dc:creator, , , 
publicationCountryCode, , , 
dcterms:publisher, , , 
, dc:publisher, , 
, publicationPlace, , 
, prism:publicationDate, , 
dc:subject, , , 
, , , （値）
, , , （値）
cinii:size, , , 
dcterms:extent, , , 
publicationStatusCode, , , 
publicationPeriodicityCode, , , 
publicationRegularityCode, , , 
serialsTypeCode, , , 
jpcoar:extent, , , 
format, , , 
datacite:version, , , 
dc:rights, , , 
url, , , 
, notation, , 
, , @language, 
, , @value, 
, @id, , 
createdAt, , , 
modifiedAt, , , 
foaf:topic, , , 
, @id, , 
, dc:title, , 
dcterms:subject, , , 
, subjectScheme, , 
, notation, , 
, , @language, 
, , @value, 
cinii:note, , , 
, @language, , 
, @value, , 
project, , , 
, @id, , 
, @type, , 
, projectIdentifier, , 
, , @type, 
, , @value, 
, notation, , 
, , @language, 
, , @value, 
, role, , 
relatedProject, , , 
, @id, , 
, @type, , 
, projectIdentifier, , 
, , @type, 
, , @value, 
, relationType, , 
, notation, , 
, , @language, 
, , @value, 
product, , , 
, @id, , 
, @type, , 
, resourceType, , 
, productIdentifier, , 
, , @type, 
, , @value, 
, notation, , 
, , @language, 
, , @value, 
, relation, , 
, , type, 
, , detail, 
relatedProduct, , , 
, @id, , 
, @type, , 
, productIdentifier, , 
, , @type, 
, , @value, 
, resourceType, , 
, relationType, , 
, jpcoar:relatedTitle, , 
, , @language, 
, , @value, 
dataSourceIdentifier, , , 
, @type, , 
, @value, , 
dcterms:tableOfContents, , , 
, language, , 
, dcterms:title, , 
grant, , , 
, grantIdentifier, , 
, , @type, 
, , @value, 
, jpcoar:fundingStream, , 
, , @language, 
, , @value, 
allocationClassification, , , 
, notation, , 
, , @language, 
, , @value, 
allocationClassification, , , 
, totalCost, , 
, , amount, 
, , unit, 
, , currency, 
, breakdownCost, , 
, , notation, 
, , , @language
, , , @value
, , amount, 
, , unit, 
, , currency, 
